parameter,feature,importance
a,pp_avg_peak_ratio,0.00128066873969195
a,pp_std_peak_ratio,0.004942250112584612
a,pp_avg_facilitation_index,0.0012904277996982918
a,pp_recovery_slope,0.0020674067410751816
a,tri_total_hysteresis_area,0.0021517161581027537
a,tri_pos_hysteresis,0.0013527915841135938
a,tri_neg_hysteresis,0.002889638517713779
a,tri_max_hysteresis_width,0.0020241005225044776
a,tri_response_at_pos_max,0.0009595206543318023
a,tri_response_at_neg_max,0.0024338187737702162
a,tri_pos_neg_ratio,0.003468338687947087
a,tri_rectification_index,0.003852341756968106
a,tri_linearity_deviation,0.0018910125213716202
a,tri_slope_variation,0.0031191746229872835
a,tri_num_inflection_points,0.001291005170914893
a,tri_response_amplitude,0.0009174857695391389
a,tri_voltage_gain,0.0006398632972594446
a,tri_phase1_gain,0.0011891517792899848
a,tri_phase2_gain,0.001972975785057232
a,tri_phase3_gain,0.0019068624213311616
a,tri_return_point_deviation,0.004396000474489716
a,tri_loop_closure_error,0.0
a,tri_loop_eccentricity,0.0009099914348622489
a,tri_centroid_v_applied,0.0
a,tri_centroid_v_response,0.0037535176776877545
a,tri_smoothness_index,0.002448365169340751
a,tri_oscillation_count,0.0019030591060000613
b,step_baseline,0.03457732950862211
b,step_peak_amplitude,0.0028220336255024765
b,step_time_to_peak,0.0046888082292048175
b,step_peak_to_baseline_ratio,0.00369882984048414
b,step_half_decay_time,0.011162797472569796
b,step_decay_rate,0.016673600664833546
b,step_area_under_curve,0.006437518637420437
b,step_response_duration,0.01290506927731652
b,step_activation_speed,0.008037144778280962
b,step_latency,0.003248553825111836
b,step_initial_slope,0.005861836570000668
b,step_settling_deviation,0.02390432118623098
b,step_asymmetry_index,0.004768232299382802
b,pp_delay_200_peak1_amplitude,0.001485273928204042
b,pp_delay_200_peak2_amplitude,0.011146304117153272
b,pp_delay_200_time_to_peak1,0.0009406204904385142
b,pp_delay_200_time_to_peak2,0.002808829448389073
b,pp_delay_200_auc1,0.0018155066499866853
b,pp_delay_200_auc2,0.005250516490348202
b,pp_delay_200_peak_width1,0.002489186613995138
b,pp_delay_200_peak_width2,0.013011333485886796
b,pp_delay_200_peak_ratio,0.025657168914157858
b,pp_delay_200_auc_ratio,0.012083373058045585
b,pp_delay_200_latency_change,0.0023109600208996027
b,pp_delay_200_width_ratio,0.012309317633038205
b,pp_delay_200_baseline_shift,0.002914636672715182
b,pp_delay_200_recovery_fraction,0.006632589403924033
b,pp_delay_200_effective_ipi,0.0021586400096726736
b,pp_delay_200_waveform_correlation,0.011991767132361475
b,pp_delay_200_total_response,0.0094989197547755
b,pp_delay_200_facilitation_index,0.026862347429697064
b,pp_delay_800_peak1_amplitude,0.0014021201475787344
b,pp_delay_800_peak2_amplitude,0.0048868569952668015
b,pp_delay_800_time_to_peak1,0.0025114034583677437
b,pp_delay_800_time_to_peak2,0.0031074092715446832
b,pp_delay_800_auc1,0.0057077249462151505
b,pp_delay_800_auc2,0.012521212315315906
b,pp_delay_800_peak_width1,0.006073596097536524
b,pp_delay_800_peak_width2,0.011322085303598937
b,pp_delay_800_peak_ratio,0.005147103664333869
b,pp_delay_800_auc_ratio,0.011306441344964842
b,pp_delay_800_latency_change,0.002037838303378554
b,pp_delay_800_width_ratio,0.008906209172057377
b,pp_delay_800_baseline_shift,0.08240493688652388
b,pp_delay_800_recovery_fraction,0.015325683787401113
b,pp_delay_800_effective_ipi,0.003955396082269805
b,pp_delay_800_waveform_correlation,0.00886001174293413
b,pp_delay_800_total_response,0.007759141985791026
b,pp_delay_800_facilitation_index,0.005296321269425979
b,pp_delay_2000_peak1_amplitude,0.0031507089080093243
b,pp_delay_2000_peak2_amplitude,0.00633345815215604
b,pp_delay_2000_time_to_peak1,0.027579067153336686
b,pp_delay_2000_time_to_peak2,0.005477578331098807
b,pp_delay_2000_auc1,0.009642083729411655
b,pp_delay_2000_auc2,0.018036306516468086
b,pp_delay_2000_peak_width1,0.006328825981289149
b,pp_delay_2000_peak_width2,0.08852478047787833
b,pp_delay_2000_peak_ratio,0.004285048791185036
b,pp_delay_2000_auc_ratio,0.01550121728712926
b,pp_delay_2000_latency_change,0.002873402938321955
b,pp_delay_2000_width_ratio,0.01783766828377526
b,pp_delay_2000_baseline_shift,0.10927985311134476
b,pp_delay_2000_recovery_fraction,0.0134247142771901
b,pp_delay_2000_effective_ipi,0.003925198402306932
b,pp_delay_2000_waveform_correlation,0.010467420019923354
b,pp_delay_2000_total_response,0.008944210456064704
b,pp_delay_2000_facilitation_index,0.004773410782280931
b,pp_avg_peak_ratio,0.003645515520578529
b,pp_std_peak_ratio,0.006074906405093076
b,pp_avg_facilitation_index,0.00474213303076316
b,pp_recovery_slope,0.006939392014862108
b,tri_total_hysteresis_area,0.006850830913747058
b,tri_pos_hysteresis,0.007097915603185729
b,tri_neg_hysteresis,0.0076982671484356864
b,tri_max_hysteresis_width,0.00599068825504294
b,tri_response_at_pos_max,0.003648151317341229
b,tri_response_at_neg_max,0.009717466037422233
b,tri_pos_neg_ratio,0.004398544298435727
