specimen_idx,specimen_seed,num_nodes,num_edges,network_density,tuned_score,true_tau_v,true_tau_w,true_a,true_b,true_v_scale,true_R_off,true_R_on,true_alpha,condition,param_source,waveform_mismatch,abs_err_tau_v,rel_err_tau_v,abs_err_tau_w,rel_err_tau_w,abs_err_a,rel_err_a,abs_err_b,rel_err_b,abs_err_v_scale,rel_err_v_scale,abs_err_R_off,rel_err_R_off,abs_err_R_on,rel_err_R_on,abs_err_alpha,rel_err_alpha,mean_rel_err_all,median_rel_err_all,mean_rel_err_core,waveform_mismatch_before,success,error_message,duration_seconds,initial_abs_err_tau_v,initial_rel_err_tau_v,initial_abs_err_tau_w,initial_rel_err_tau_w,initial_abs_err_a,initial_rel_err_a,initial_abs_err_b,initial_rel_err_b,initial_abs_err_v_scale,initial_rel_err_v_scale,initial_abs_err_R_off,initial_rel_err_R_off,initial_abs_err_R_on,initial_rel_err_R_on,initial_abs_err_alpha,initial_rel_err_alpha,initial_mean_rel_err_all,initial_median_rel_err_all,initial_mean_rel_err_core,opt_success,opt_n_evals,opt_final_mismatch
3,3554,40,101,0.1294871794871795,0.3903507657297611,49.88889062111125,934.3762348529912,0.6097938460012582,0.7668353175558105,3.355624938101141,153.6842013782412,19.040771457279668,0.0118733185680264,oracle,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,8.462136030197144,,,,,,,,,,,,,,,,,,,,,,
3,3554,40,101,0.1294871794871795,0.3903507657297611,49.88889062111125,934.3762348529912,0.6097938460012582,0.7668353175558105,3.355624938101141,153.6842013782412,19.040771457279668,0.0118733185680264,ml_only,ml_predicted,6.747319721690378,11.856939749206774,23.766693549536576,87.2124478519446,9.333761347821172,0.04752803249700788,7.794114814519741,0.029905659330809797,3.899880279670788,1.1153864114209546,33.23930510597775,9.05038257133424,5.888947914076037,3.656576575476887,19.203930805333524,0.0018350332523282085,15.455099822004781,14.822716704867545,12.394430584912977,12.049909962710613,6.747319721690378,True,,6.661784887313843,,,,,,,,,,,,,,,,,,,,,,
3,3554,40,101,0.1294871794871795,0.3903507657297611,49.88889062111125,934.3762348529912,0.6097938460012582,0.7668353175558105,3.355624938101141,153.6842013782412,19.040771457279668,0.0118733185680264,ml_refine,ml_refined,0.004144797756352811,2.2166521099313243,4.443177794354222,6.100667270437157,0.6529133600445589,0.010280258447682877,1.6858580179859355,0.02457312408331991,3.204485176613815,0.7014001614072218,20.902221622635317,30.395208290109025,19.77770520164387,0.303557507963891,1.5942500472912335,0.0021449667476717924,18.065435685205376,8.79075586322179,3.8238314854840185,5.6103740068407815,6.747319525556075,True,,76618.64361667633,11.856939749206774,23.766693549536576,87.2124478519446,9.333761347821172,0.04752803249700788,7.794114814519741,0.02990565933081002,3.899880279670817,1.1153864114209546,33.23930510597775,9.050382571334268,5.888947914076056,3.656576575476887,19.203930805333524,0.0018350332523282085,15.455099822004781,14.822716704867553,12.394430584912977,12.049909962710618,True,10129.0,0.004144797756352811
10,11648,40,132,0.1692307692307692,0.1064541370751881,77.64592962000201,1064.1298681209364,0.63488378771495,0.785730591454139,7.016405027693738,189.86725989254128,16.747600749893184,0.006729099300213,oracle,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,11.261576175689697,,,,,,,,,,,,,,,,,,,,,,
10,11648,40,132,0.1692307692307692,0.1064541370751881,77.64592962000201,1064.1298681209364,0.63488378771495,0.785730591454139,7.016405027693738,189.86725989254128,16.747600749893184,0.006729099300213,ml_only,ml_predicted,0.17655081460680222,4.008046341167173,5.161952932725938,137.66101488822414,12.936486326739047,0.03197869962025035,5.036937504784923,0.04061204113432726,5.168697969872664,2.1188926563753956,30.19912117361998,48.28132532838529,25.428989366405524,10.661732357686926,63.661252240511324,0.0037553000151584913,55.80687387437943,25.425038923629852,19.182737846572287,16.8221897217004,0.17655081460680222,True,,8.559813976287842,,,,,,,,,,,,,,,,,,,,,,
10,11648,40,132,0.1692307692307692,0.1064541370751881,77.64592962000201,1064.1298681209364,0.63488378771495,0.785730591454139,7.016405027693738,189.86725989254128,16.747600749893184,0.006729099300213,ml_refine,ml_refined,0.008643980246977448,2.2453530876735073,2.8917846674762466,10.316709685467686,0.9694972384981718,0.004968302820508974,0.7825531090671177,0.06888683093874426,8.76723290135481,3.617414425346336,51.556522336108756,1.2353127288042458,0.6506191375504877,3.426897363883228,20.46201969487852,0.0038318677933371183,56.94473458388541,17.878120458602442,5.829508784415528,14.07116050005635,0.17655081213124074,True,,86947.40703177452,4.008046341167173,5.161952932725938,137.6610148882237,12.936486326739004,0.03197869962025035,5.036937504784923,0.04061204113432737,5.168697969872678,2.1188926563753956,30.19912117361998,48.28132532838529,25.428989366405524,10.661732357686926,63.661252240511324,0.003755300015158493,55.80687387437946,25.425038923629856,19.182737846572266,16.822189721700404,True,10426.0,0.008643980246977448
18,56639,50,171,0.1395918367346938,0.0327083669349405,55.806408971612846,650.1942979844703,0.6365619706233748,0.8566802396976332,5.461303285338212,210.96510669728863,18.51628643473243,0.012232418873814,oracle,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,14.567300796508789,,,,,,,,,,,,,,,,,,,,,,
18,56639,50,171,0.1395918367346938,0.0327083669349405,55.806408971612846,650.1942979844703,0.6365619706233748,0.8566802396976332,5.461303285338212,210.96510669728863,18.51628643473243,0.012232418873814,ml_only,ml_predicted,0.9493794474296264,5.444386971007084,9.755845379276662,81.6687434233429,12.560667430719452,0.0193852567842695,3.0453055123981922,0.01466558277437402,1.7119086087287776,0.32383011654356597,5.929539152440277,61.19356458365016,29.006486210739617,14.255158040388238,76.98713287115581,0.002506653855133302,20.491890120010673,19.93609691068368,11.158256404998056,9.51312341022675,0.9493794474296264,True,,11.853974103927612,,,,,,,,,,,,,,,,,,,,,,
18,56639,50,171,0.1395918367346938,0.0327083669349405,55.806408971612846,650.1942979844703,0.6365619706233748,0.8566802396976332,5.461303285338212,210.96510669728863,18.51628643473243,0.012232418873814,ml_refine,ml_refined,0.14988611267196303,11.40131691511629,20.430121065298053,90.98489437185606,13.9934931225766,0.002242303770263132,0.35225223519322524,0.029077946182966774,3.394259004950975,0.7221808086908394,13.2235983051231,97.39761734857251,46.16764301609415,5.392564145309365,29.123356696216323,0.0011498126757229239,9.399716263678783,17.0105549636414,13.60854571384985,9.513968338339527,0.9493795081342634,True,,85786.39700937271,5.444386971007084,9.755845379276662,81.66874342334302,12.56066743071947,0.0193852567842695,3.0453055123981922,0.014665582774373909,1.7119086087287647,0.32383011654356597,5.929539152440277,61.19356458365013,29.006486210739606,14.255158040388231,76.98713287115577,0.0025066538551333038,20.491890120010687,19.93609691068368,11.158256404998067,9.513123410226758,True,6943.0,0.14988611267196303
5,97599,50,196,0.16,0.1547331854277631,95.34390526707584,1200.0,0.667082992641467,0.8683826731179723,6.649127924745419,170.1772454279101,9.770530380098254,0.0116426221634184,oracle,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,15.695000171661377,,,,,,,,,,,,,,,,,,,,,,
