condition,param_source,waveform_mismatch,xor_score_on_twin,xor_accuracy_twin,xor_separation_twin,xor_accuracy_specimen,xor_separation_specimen,transfer_success_75,transfer_success_100,success,error_message,duration_seconds,num_nodes,num_edges,network_density,specimen_idx,specimen_seed,true_tau_v,true_tau_w,true_a,true_b,true_v_scale,true_R_off,true_R_on,true_alpha,ml_abs_err_tau_v,ml_rel_err_tau_v,ml_abs_err_tau_w,ml_rel_err_tau_w,ml_abs_err_a,ml_rel_err_a,ml_abs_err_b,ml_rel_err_b,ml_abs_err_v_scale,ml_rel_err_v_scale,ml_abs_err_R_off,ml_rel_err_R_off,ml_abs_err_R_on,ml_rel_err_R_on,ml_abs_err_alpha,ml_rel_err_alpha,waveform_mismatch_before,opt_n_evals,opt_success,opt_final_mismatch,refined_abs_err_tau_v,refined_rel_err_tau_v,refined_abs_err_tau_w,refined_rel_err_tau_w,refined_abs_err_a,refined_rel_err_a,refined_abs_err_b,refined_rel_err_b,refined_abs_err_v_scale,refined_rel_err_v_scale,refined_abs_err_R_off,refined_rel_err_R_off,refined_abs_err_R_on,refined_rel_err_R_on,refined_abs_err_alpha,refined_rel_err_alpha
ml_refine,ml_refined,0.0021520312473351,0.0,0.5,0.0,0.5,4.869433745113838e-09,False,False,True,,15444.953767061234,30,64,0.1471264367816092,3,365838,51.899419483124966,710.3436898065671,0.6061125156546476,0.9481365938729512,1.5993953698934713,242.55056602313385,21.81808928986082,0.0057193027919145,4.947770931572947,9.533383958508775,177.76361409270874,25.02501488273801,0.0504697841797011,8.326801190842124,0.0846004705796452,8.922814615259831,4.545904833750466,284.22645951319856,47.44308217185193,19.560078935172378,8.699469159661312,39.872736077142235,0.0011423362741885,19.973348077149712,0.2660368351018305,6322.0,True,0.0021520312473351,0.4830578089426822,0.9307576341943808,43.62018833878062,6.140715961121952,0.0423161799401083,6.981571711552949,0.0391702761232668,4.131290403963071,4.660556324533042,291.3948865909288,20.36528342159596,8.39630422451588,0.443944466121799,2.0347540988663555,7.014464449550933e-05,1.2264544442063685
random,random,0.950910610260614,0.0,0.5,0.0,0.5,4.869433745113838e-09,False,False,True,,106.99488878250122,30,64,0.1471264367816092,3,365838,51.899419483124966,710.3436898065671,0.6061125156546476,0.9481365938729512,1.5993953698934713,242.55056602313385,21.81808928986082,0.0057193027919145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,true,0.0,0.0110537839813911,0.75,1.449659556424571,0.75,1.449659556424571,True,False,True,,130.91573691368103,30,62,0.1425287356321839,1,671155,42.05892243496464,981.61478293121,0.6551604351996598,0.8332367911263479,1.0287096020655062,133.0106084355719,12.05169722287378,0.0141061106192014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.0474923168578737,0.0,0.5,0.0,0.75,4.114437679447747e-09,True,False,True,,101.35423588752748,30,62,0.1425287356321839,1,671155,42.05892243496464,981.61478293121,0.6551604351996598,0.8332367911263479,1.0287096020655062,133.0106084355719,12.05169722287378,0.0141061106192014,2.8494931325363737,6.775002704683522,241.2811137492239,24.580020385258184,0.0201406404527004,3.074153957952066,0.0776803825249421,9.322725945719837,4.894008613776727,475.74248393079,35.293023812799106,26.533991707787667,15.17078561688532,125.88090570318776,0.0092451575937305,65.54008952408054,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,0.0062595282281095,0.0158336231129307,0.75,1.352588557377677,0.75,1.3604751239873418,True,False,True,,22137.981475114822,30,62,0.1425287356321839,1,671155,42.05892243496464,981.61478293121,0.6551604351996598,0.8332367911263479,1.0287096020655062,133.0106084355719,12.05169722287378,0.0141061106192014,2.8494931325363737,6.775002704683522,241.2811137492237,24.58002038525816,0.0201406404527004,3.074153957952066,0.0776803825249421,9.322725945719837,4.894008613776727,475.74248393079,35.29302381279905,26.533991707787628,15.170785616885327,125.88090570318782,0.0092451575937305,65.54008952408054,0.0474923045509382,7690.0,True,0.0062595282281095,6.095333118645954,14.492366341664184,126.91640543712047,12.929349439718212,0.0118244572969288,1.8048185848586091,0.0201551828057554,2.4189021677848985,3.859518767576784,375.180591242876,72.34366366772255,54.38939383749246,5.722156263829989,47.4800864804504,0.0052651575937305,37.32536698838994
random,random,0.1081999371517291,0.0,0.5,0.0,0.75,4.114437679447747e-09,True,False,True,,152.60511803627014,30,62,0.1425287356321839,1,671155,42.05892243496464,981.61478293121,0.6551604351996598,0.8332367911263479,1.0287096020655062,133.0106084355719,12.05169722287378,0.0141061106192014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,true,0.0,0.0,0.5,0.0,0.5,0.0,False,False,True,,112.33994007110596,30,60,0.1379310344827586,7,732180,67.49210160739992,1163.1072655892,0.6711587562376636,0.8590202808758274,5.148474778179428,206.39070756038933,26.8459438192382,0.0062647762325521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.0563134928052518,1.5537084115724298e-05,0.75,0.0001276062826569,0.5,0.0,False,False,True,,111.25430297851562,30,60,0.1379310344827586,7,732180,67.49210160739992,1163.1072655892,0.6711587562376636,0.8590202808758274,5.148474778179428,206.39070756038933,26.8459438192382,0.0062647762325521,2.2587007353300095,3.3466149097941504,23.689459861482874,2.0367390491263393,0.0270093276983067,4.024282994635957,0.0245820217114433,2.861634615136058,0.2250688886277059,4.371564362658136,39.21531713153624,19.000524585169583,0.5282268048486038,1.9676224028603573,0.0009586375919051,15.30202422270069,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,0.0001966498314637,0.0028095580758975,0.75,0.2084733101111703,0.75,0.2094624235067204,True,False,True,,12486.80452799797,30,60,0.1379310344827586,7,732180,67.49210160739992,1163.1072655892,0.6711587562376636,0.8590202808758274,5.148474778179428,206.39070756038933,26.8459438192382,0.0062647762325521,2.2587007353300237,3.3466149097941713,23.6894598614831,2.036739049126359,0.0270093276983067,4.024282994635957,0.0245820217114431,2.8616346151360452,0.2250688886277059,4.371564362658136,39.21531713153624,19.000524585169583,0.5282268048486038,1.9676224028603573,0.0009586375919051,15.30202422270066,0.056313498401827,7393.0,True,0.0001966498314637,1.819134995672485,2.6953301976750677,7.632195363546543,0.6561901545408725,0.0034632032708864,0.5160035890441536,0.0121452066508004,1.41384399411429,1.5855062749140734,30.79565003606631,41.80183504490515,20.253738910533944,1.1957269316521533,4.454032012056971,0.0003499882996602,5.586604869540799
random,random,10.35967424035424,0.0020906075902156,0.75,1.4501416847178052,0.5,-2.64952036976851e-08,False,False,True,,174.84401178359985,30,60,0.1379310344827586,7,732180,67.49210160739992,1163.1072655892,0.6711587562376636,0.8590202808758274,5.148474778179428,206.39070756038933,26.8459438192382,0.0062647762325521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
