specimen_idx,specimen_seed,num_nodes,perturbed_param,perturbation_pct,direction,xor_accuracy_twin,xor_accuracy_specimen,accuracy_drop,baseline_accuracy,baseline_xor_score
4,259178,80,R_off,5.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_off,-5.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_off,10.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_off,-10.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_off,20.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_off,-20.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_off,30.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_off,-30.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_on,5.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_on,-5.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_on,10.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_on,-10.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_on,20.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_on,-20.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_on,30.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,R_on,-30.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,alpha,5.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,alpha,-5.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,alpha,10.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,alpha,-10.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,alpha,20.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,alpha,-20.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,alpha,30.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,alpha,-30.0,down,0.5,0.5,0.0,0.5,0.0
5,644167,30,none,0.0,none,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_v,5.0,up,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_v,-5.0,down,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_v,10.0,up,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_v,-10.0,down,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_v,20.0,up,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_v,-20.0,down,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_v,30.0,up,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_v,-30.0,down,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_w,5.0,up,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_w,-5.0,down,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_w,10.0,up,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_w,-10.0,down,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_w,20.0,up,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_w,-20.0,down,0.5,0.5,0.0,0.5,0.0
5,644167,30,tau_w,30.0,up,0.5,0.5,0.0,0.5,0.0
